高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
广河县教育局2020年农村义务教育学生营养改善计划采购项目中标公告 | 2020.02.28 | 广河县教育局 | 甘肃全信招标代理有限公司中标公告 | 甘肃 | 货物/食品、饮料和烟草原料/农副食品，动、植物油制品/其他农副食品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935101.htm
海丰县平东镇人民政府海丰县平东镇大塘村委部分巷道硬底化及新建护栏项目的中标、成交公告 | 2020.02.28 | 海丰县平东镇人民政府 | 广东公正招标服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935091.htm
海丰县梅陇镇人民政府海丰县梅陇镇农村“厕所革命”公厕建设工程（男女4、6、8蹲位）-西北片（重招）的中标、成交公告 | 2020.02.28 | 海丰县梅陇镇人民政府 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935100.htm
大安市文化广播电视和旅游局推介城市宣传形象服务中标公告 | 2020.02.28 | 大安市文化广播电视和旅游局 | 长春市科胜招标投标代理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935074.htm
陆丰市甲子人民医院陆丰市第二人民医院建设项目放射科辐射防护及安装工程采购项目的成交公告 | 2020.02.28 | 陆丰市甲子人民医院 | 广东有德招标采购有限公司汕尾分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935067.htm
海丰县附城中学海丰县附城中学南楼教室、卫生间、楼梯间改造及教学楼、室外零星项目改造、其他零星水电线路等改造工程的中标、成交公告 | 2020.02.28 | 海丰县附城中学 | 广东中弘工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935066.htm
大安市学校后勤管理服务中心大宗食品米面油采购中标公告 | 2020.02.28 | 大安市学校后勤管理服务中心 | 长春市科胜招标投标代理有限公司中标公告 | 吉林 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935060.htm
广东省乳阳林场（广东南岭国家森林公园管理处）广东省乳阳林场2019年省级森林碳汇林抚育的中标、成交公告 | 2020.02.28 | 广东省乳阳林场（广东南岭国家森林公园管理处） | 韶关市中利工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935062.htm
北京市大兴区长子营镇人民政府大兴区长子营镇镇域总体规划专题研究项目-长子营镇自然生态资源保护及综合整治专题中标公告 | 2020.02.28 | 北京市大兴区长子营镇人民政府 | 北京益行工程咨询有限公司中标公告 | 北京 | 服务/公共设施管理服务/城市规划和设计服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935118.htm
北京市朝阳区红领巾公园2020年园林绿化养护及绿地保洁服务项目采购项目2标段中标公告 | 2020.02.28 | 北京市朝阳区红领巾公园 | 北京合信恒盛咨询有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935071.htm
北京市朝阳区红领巾公园2020年园林绿化养护及绿地保洁服务项目采购项目1标段中标公告 | 2020.02.28 | 北京市朝阳区红领巾公园 | 北京合信恒盛咨询有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935072.htm
福建诏安工业园区建设发展公司诏安工业园区D区赤水溪入河排污口污水处理工程2020年运营维护管理项目中标公告 | 2020.02.28 | 福建诏安工业园区建设发展公司 | 漳州正大招标代理有限公司中标公告 | 福建 | 服务/环境服务/其他环境治理服务/其他环境治理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935039.htm
2020年北京市朝阳区四得公园绿化养护及保洁采购项目中标公告 | 2020.02.28 | 北京市朝阳区四得公园 | 中钢招标有限责任公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935070.htm
海丰县平东镇人民政府2017年度、2018年度海丰县平东镇基本农田保护经济补偿省级补助资金建设项目的中标、成交公告 | 2020.02.28 | 海丰县平东镇人民政府 | 广东海业咨询服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935021.htm
广西至德项目咨询有限公司关于全州县机关第二幼儿园室内、外教具设备采购（项目编号：GLZC2020-G1-10002-GXZD）中标结果公告 | 2020.02.28 | 全州县教育局 | 广西至德项目咨询有限公司中标公告 | 广西 | 货物/橡胶、塑料、玻璃和陶瓷制品/橡胶制品/其他橡胶制品,货物/橡胶、塑料、玻璃和陶瓷制品/塑料制品、半成品及辅料/塑料制品,货物/办公消耗用品及类似物品/其他办公消耗用品及类似物品, | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935027.htm
2020年餐饮服务环节食品抽样检验项目中标公告 | 2020.02.28 | 广州市增城区市场监督管理局 | 广东公采招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935001.htm
瑞丽市2019-2020年度营养改善计划城区苹果采购公开招标中标公告 | 2020.02.28 | 瑞丽市教育体育局 | 云南典范招标咨询有限公司中标公告 | 云南 | 货物/食品、饮料和烟草原料/农副食品，动、植物油制品/水果、坚果加工品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934990.htm
交警支队富山工业区智能交通设备设施采购项目中标公告 | 2020.02.28 | 珠海市公安局交通警察支队 | 广东中洲国信建设管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935002.htm
丽市2019-2020年度营养改善计划农村纯牛奶采购公开招标中标公告 | 2020.02.28 | 瑞丽市教育体育局 | 云南典范招标咨询有限公司中标公告 | 云南 | 货物/食品、饮料和烟草原料/食品及加工盐/乳制品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934998.htm
惠州仲恺高新技术产业开发区潼侨镇卫生院高清电子内窥镜系统等3台医疗设备采购项目的中标公告 | 2020.02.28 | 惠州仲恺高新技术产业开发区潼侨镇卫生院 | 正大鹏安建设项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934994.htm
瑞丽市2019-2020年度营养改善计划城区酸奶采购公开招标中标公告 | 2020.02.28 | 瑞丽市教育体育局 | 云南典范招标咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934987.htm
辽宁省高速公路运营管理有限责任公司丹东分公司丹东分公司2020年春季环境友好型融雪材料采购项目中标公告 | 2020.02.28 | 辽宁省高速公路运营管理有限责任公司丹东分公司 | 丹东金泽工程造价咨询事务所有限公司中标公告 | 辽宁 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934961.htm
瑞丽市2019-2020年度营养改善计划城区纯牛奶采购公开招标中标公告 | 2020.02.28 | 瑞丽市教育体育局 | 云南典范招标咨询有限公司中标公告 | 云南 | 货物/食品、饮料和烟草原料/食品及加工盐/乳制品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934972.htm
福建经发-国际公开招标－1658-2041FJJF0001便携式彩色超声诊断系统采购结果公告 | 2020.02.28 | 厦门市第五医院 | 福建经发招标代理有限公司中标公告 | 福建 | 货物/专用设备/医疗设备/医用超声波仪器及设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935110.htm
浙江五石工程咨询有限公司关于浙江大学国际联合学院(海宁国际校区)双束聚焦离子刻蚀系统采购项目的中标公告 | 2020.02.28 | 浙江大学 | 浙江五石工程咨询有限公司中标公告 | 浙江 | 货物/通用设备/仪器仪表/其他仪器仪表 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13935107.htm
中国共产党江门市新会区委员会党校新会区委党校空调设备的中标、成交公告 | 2020.02.28 | 中国共产党江门市新会区委员会党校 | 广东华迪工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934952.htm
海南省强制隔离戒毒所-电风扇电热水器及戒毒人员开水供应项目-中标公告 | 2020.02.28 | 海南省强制隔离戒毒所 | 海南政采招投标有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934977.htm
三亚市天涯区人民政府办公室-三亚市天涯区人民政府办公室后勤管理服务外包项目（二次招标）-中标公告 | 2020.02.28 | 三亚市天涯区人民政府办公室 | 海南亿晟工程项目管理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934976.htm
农业局本级莱西市规范提升农民合作社和家庭农场高质量发展服务项目成交公告 | 2020.02.28 | 农业局本级 | 青岛金海恒悦项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934951.htm
农业局本级莱西市规范提升农民合作社和家庭农场高质量发展服务项目成交公告 | 2020.02.28 | 农业局本级 | 青岛金海恒悦项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934950.htm
乐昌市廊田镇廊田村委会社会主义新农村建设项目（大村片）的中标、成交公告 | 2020.02.28 | 乐昌市廊田镇人民政府 | 广东省广大工程顾问有限公司韶关分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934962.htm
佛山市禅城区公用事业服务中心季华五路岭南大道隧道等桥梁立体绿化改造提升项目的中标、成交结果调整公告 | 2020.02.28 | 佛山市禅城区公用事业服务中心 | 佛山市粤辉工程造价咨询事务所有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934937.htm
聊城江北水城旅游度假区管理委员会办公室盛世天湖装饰装修项目中标公告 | 2020.02.28 | 聊城江北水城旅游度假区管理委员会办公室 | 山东冠宇招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934934.htm
务川县教育局采购2020-2022年营养改善计划学校农产品中标（成交）公告 | 2020.02.28 | 务川仡佬族苗族自治县教育局 | 陕西华瑞项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934939.htm
农业局本级莱西市规范提升农民合作社和家庭农场高质量发展服务项目成交公告 | 2020.02.28 | 农业局本级 | 青岛金海恒悦项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934933.htm
齐鲁化工区产业发展规划编制中标公告 | 2020.02.28 | 淄博齐鲁化学工业区管理委员会 | 山东鹏程永信建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934901.htm
石狮市医院2020年度纸质印刷制品、塑料制品采购项目（第二次）中标结果公告 | 2020.02.28 | 石狮市医院 | 福建中建恒源建设管理有限公司中标公告 | 福建 | 货物/橡胶、塑料、玻璃和陶瓷制品/塑料制品、半成品及辅料/塑料制品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934905.htm
广东省普宁市后溪乡半径村下南进绿美古树乡村建设规划（2019-2020年）工程的中标、成交公告 | 2020.02.28 | 普宁市林业局 | 广东联诚招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934912.htm
宜良县第一人民医院第二批医疗设备采购项目中标公告 | 2020.02.28 | 宜良县第一人民医院 | 云南招标股份有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934900.htm
福建医科大学附属协和医院高清宫腔镜手术系统、半导体激光治疗仪货物类采购项目结果公告(包1) | 2020.02.28 | 福建医科大学附属协和医院 | 福建顺恒工程项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934917.htm
长汀县农村地籍和房屋调查第三方监理服务类采购项目结果公告(包1) | 2020.02.28 | 长汀县自然资源局 | 圣弘建设股份有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934910.htm
珠海市公安局交通警察支队交警支队富山工业区智能交通设备设施采购项目中标公告 | 2020.02.28 | 珠海市公安局交通警察支队 | 广东中洲国信建设管理咨询有限公司中标公告 | 广东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934873.htm
广州市增城区派潭镇人民政府派潭镇公园管护项目的中标公告 | 2020.02.28 | 广州市增城区派潭镇人民政府 | 广东省广大工程顾问有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934875.htm
北京园博园管理中心2020年游客服务外包项目中标公告 | 2020.02.28 | 北京园博园管理中心 | 北京中衡融达工程管理有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934903.htm
永吉县农业农村局永吉县2019年一拉溪镇高标准农田建设项目检测中标公告 | 2020.02.28 | 永吉县农业农村局 | 中吉国际项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13935006.htm
福贡县人力资源和社会保障局2019年职业技能提升培训服务采购项目(二次）中标公告 | 2020.02.28 | 福贡县人力资源和社会保障局 | 云南行行工程项目管理有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934860.htm
海丰县平东镇人民政府海丰县平东镇大塘村委部分巷道硬底化及新建护栏项目的中标、成交公告 | 2020.02.28 | 海丰县平东镇人民政府 | 广东公正招标服务有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934844.htm
瓮安县银盏镇2019年省级林业改革发展资金重点区域绿化项目中标（成交）公告 | 2020.02.28 | 瓮安县银盏镇人民政府 | 贵州千义和招标代理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934811.htm
广西壮族自治区政府采购中心关于广西中医药大学物业安保服务采购（GXZC2020-G3-000079-CGZX）的中标公告 | 2020.02.28 | 广西中医药大学 | 广西壮族自治区政府采购中心中标公告 | 广西 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934829.htm
广西壮族自治区政府采购中心关于广西中医药大学校园保洁、学生公寓（宿舍）管理服务采购（GXZC2020-G3-000045-CGZX）中标结果公告 | 2020.02.28 | 广西中医药大学 | 广西壮族自治区政府采购中心中标公告 | 广西 | 服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934828.htm
福建某部病案室密集柜采购项目中标公告 | 2020.02.28 | 福建某部 | 福建顺恒工程项目管理有限公司中标公告 | 福建 | 货物/家具用具/柜类/其他柜类 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934825.htm
连山壮族瑶族自治县国土空间总体规划（2020-2035年）采购项目中标公告 | 2020.02.28 | 连山壮族瑶族自治县自然资源局 | 清远采联采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934791.htm
天津市西青区生态环境局机关西青区工业园区环境空气自动监测站服务项目(项目编号:98719538964)中标公告 | 2020.02.28 | 天津市西青区生态环境局机关 | 天津市津泽青诚企业管理咨询有限公司中标公告 | 天津 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934760.htm
天津港保税区（天津空港经济区）服务中心天津港保税区管委会大楼物业服务项目(项目编号:TJBSGP-2020-004)中标公告 | 2020.02.28 | 天津港保税区（天津空港经济区）服务中心 | 天津泰达工程管理咨询有限公司中标公告 | 天津 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934767.htm
云浮市云安区广播电视台云安区融媒体中心技术平台建设项目中标公告 | 2020.02.28 | 云浮市云安区广播电视台 | 云浮市云安区政府采购中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934747.htm
山东省潍坊市临朐县石家河生态经济区发展服务中心“鹿鸣田园综合体”涉农资金项目中标公告 | 2020.02.28 | 临朐县石家河生态经济区发展服务中心,临朐县石家河生态经济区发展服务中心 | 山东合意工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934734.htm
乐昌市第二人民医院中医康复等设备一批采购项目中标公告 | 2020.02.28 | 乐昌市第二人民医院 | 广东弘昊招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934732.htm
东北易华录信息技术有限公司易华录国际食品安全创新产业园物业管理中标公告 | 2020.02.28 | 东北易华录信息技术有限公司 | 长春市维冠招标投标有限公司中标公告 | 吉林 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934713.htm
石家庄市井陉矿区住房和城乡建设局2019年既有居住建筑节能改造三期工程成交公告 | 2020.02.28 | 矿区住房和城乡建设局机关 | 河北大衡招标有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934685.htm
石家庄市井陉矿区贾庄镇人民政府天户峪社区美丽中国河北样板村工程成交公告 | 2020.02.28 | 贾庄镇人民政府 | 河北大衡招标有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934686.htm
吉林市城市建设档案馆吉林市城市建设档案业务用房工程环境风险评估中标公告 | 2020.02.28 | 吉林市城市建设档案馆 | 中吉国际项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934771.htm
合浦县浦源水利建设投资有限公司河砂废料自卸车运输服务中标公告 | 2020.02.28 | 合浦县浦源水利建设投资有限公司 | 广西鸿业建设工程管理咨询有限公司中标公告 | 广西 | 服务/租赁服务（不带操作员）/车辆及其他运输机械租赁服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934720.htm
佛山市禅城区公用事业服务中心季华五路岭南大道隧道等桥梁立体绿化改造提升项目的中标、成交公告 | 2020.02.28 | 佛山市禅城区公用事业服务中心 | 佛山市粤辉工程造价咨询事务所有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934611.htm
北京中铁诺德晨兴房地产开发有限公司顺义区樱花园小区房屋产权置换A区项目-围挡建设项目中标结果公告 | 2020.02.28 | 北京中铁诺德晨兴房地产开发有限公司 | 北京嘉诚晟泰工程管理咨询有限公司中标公告 | 北京 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13934664.htm
长岭县机关事务管理中心综合办公楼物业管理服务资质采购项目中标公告 | 2020.02.28 | 长岭县机关事务管理中心 | 吉林省亿安建设项目管理有限公司中标公告 | 吉林 | 服务/房地产服务/物业管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13933887.htm
